URN,CTSURN,LatinName,EnglishName
urn:cite:chs:textgroup.tlg1772,urn:cts:greekLit:tlg1772:,"Paraleipomena Jeremiou","Paralipomena of Jeremiah"
urn:cite:chs:textgroup.tlg1799,urn:cts:greekLit:tlg1799:,Euclides,Euclid
urn:cite:chs:textgroup.tlg2000,urn:cts:greekLit:tlg2000:,Plotinus,Plotinus
urn:cite:chs:textgroup.tlg2002,urn:cts:greekLit:tlg2002:,"Anonymus Seguerianus","The Anonymus Seguerianus"
urn:cite:chs:textgroup.tlg2027,urn:cts:greekLit:tlg2027:,"Valerius Apsines","Valerius Apsines"
urn:cite:chs:textgroup.tlg2034,urn:cts:greekLit:tlg2034:,Porphyrius,Porphyry
urn:cite:chs:textgroup.tlg2038,urn:cts:greekLit:tlg2038:,"Acta Thomae","The Acts of Thomas"
urn:cite:chs:textgroup.tlg2039,urn:cts:greekLit:tlg2039:,Diophantus,Diophantus
urn:cite:chs:textgroup.tlg2042,urn:cts:greekLit:tlg2042:,Origenes,Origen
urn:cite:chs:textgroup.tlg2054,urn:cts:greekLit:tlg2054:,"Aristides Quintilianus","Aristides Quintilianus"
urn:cite:chs:textgroup.tlg2063,urn:cts:greekLit:tlg2063:,"Gregorius Thaumaturgus","Saint Gregory of Neocaesarea/ Gregory the Wonderworker"
urn:cite:chs:textgroup.tlg2115,urn:cts:greekLit:tlg2115:,Hippolytus,"Hippolytus of Rome"
urn:cite:chs:textgroup.tlg2133,urn:cts:greekLit:tlg2133:,"Achilles Tatius","Achilles Tatius"
urn:cite:chs:textgroup.tlg2178,urn:cts:greekLit:tlg2178:,"Cassius Longinus","Cassius Longinus"
urn:cite:chs:textgroup.tlg2181,urn:cts:greekLit:tlg2181:,Moses,Moses
urn:cite:chs:textgroup.tlg2248,urn:cts:greekLit:tlg2248:,"Acta Xanthippae Et Polyxenae","Acts of Xanthippe, Polyxena, and Rebecca"
urn:cite:chs:textgroup.tlg2577,urn:cts:greekLit:tlg2577:,Anatolius,"Anatolius of Laodicea"
urn:cite:chs:textgroup.tlg2583,urn:cts:greekLit:tlg2583:,Manetho,Manetho
urn:cite:chs:textgroup.tlg2600,urn:cts:greekLit:tlg2600:,"Simon Scriptor De Re Equestri","Simon, writer On Horsemanship"
urn:cite:chs:textgroup.tlg2679,urn:cts:greekLit:tlg2679:,"Testamentum Salomonis","Odes/ Psalms of Solomon"
urn:cite:chs:textgroup.tlg2903,urn:cts:greekLit:tlg2903:,"Minucianus Junior","Minucianus the Younger"
urn:cite:chs:textgroup.tlg2956,urn:cts:greekLit:tlg2956:,"Sextus Julius Africanus","Sextus Julius Africanus"
urn:cite:chs:textgroup.tlg4086,urn:cts:greekLit:tlg4086:,Agathodaemon,Agathodaimon
